num,ang1,ang2,ang3,ang4,ang5,ang6,ang7,ang8,ang9,ang10,label
1,177.34175,173.1004782,163.747333,158.2651902,86.93103569,87.06188052,174.1459455,175.6226351,177.4495354,179.2780502,arm_stretch_up
2,173.6712439,177.2395396,146.3650677,146.9873787,89.84371008,93.12184155,175.2328455,172.9478425,178.4733315,176.5744314,arm_stretch_up
3,178.2639967,170.0419294,164.0858791,176.0509354,86.85504254,86.9225446,179.5310767,178.3138137,178.1569952,176.9225446,arm_stretch_up
4,170.9905108,178.1123238,155.8829662,158.8007867,101.1186795,99.91085977,167.6772723,169.2514228,179.3836947,174.832808,arm_stretch_up
5,176.4298164,178.3067217,170.7440308,162.6133761,95.13637849,94.10811218,174.1322258,173.7171437,178.0113621,178.06402,arm_stretch_up
6,179.3794297,179.1480011,150.579512,172.6964156,90.95271216,86.17396389,175.3687163,179.8572123,179.9851085,179.8250243,arm_stretch_up
7,178.246624,171.5022777,168.918709,157.0293749,84.40675629,91.95719178,177.0388229,179.8325526,177.3868322,178.9709548,arm_stretch_up
8,173.7239071,164.0347442,152.1715665,144.6840696,84.82199763,90.74786762,178.9609784,179.0100569,176.8155238,175.3015142,arm_stretch_up
9,157.8218673,162.1930321,134.2523516,146.7245964,113.100293,89.31715668,162.116403,164.5159487,168.604001,175.4135302,arm_stretch_up
10,177.0925882,162.1294337,170.5968463,137.0145988,113.2641412,69.07265113,171.1125101,176.0073968,175.7269658,172.5355752,arm_stretch_up
11,176.4990894,177.6606794,163.6068559,164.471467,111.1364442,74.28965598,166.7769305,176.8438393,171.2000347,175.3217913,arm_stretch_up
12,171.5887022,166.6277987,176.8105053,153.2421446,109.4611101,73.87153874,164.4439043,179.4272623,173.3518491,168.7771616,arm_stretch_up
13,177.2820503,176.7187709,170.8224454,167.3713944,114.3153758,71.57332063,166.311973,179.8030943,169.1095171,172.7506371,arm_stretch_up
14,176.0243942,171.8686721,167.4634335,158.7464152,124.9388232,66.12151691,163.7763074,175.4114343,166.3627775,179.902554,arm_stretch_up
15,175.5118706,175.1469036,166.0618447,178.2711517,92.36561366,91.45357246,173.4075288,177.7394981,174.5776268,175.3856839,arm_stretch_up
16,174.593866,168.2585457,150.1568592,148.200203,92.33160214,98.02315749,172.6798916,171.6734837,175.9824899,175.5109613,arm_stretch_up
17,165.6740325,145.0383265,176.8683104,88.62108433,86.60194971,91.063104,179.7359245,177.3131964,176.18223,177.1663118,arm_stretch_up
18,171.0610234,179.1603386,142.4589365,137.1642176,92.0593961,92.23984557,173.3111011,171.2221476,174.445458,173.0635114,arm_stretch_up
19,174.4563897,170.3129896,162.0563657,176.4482666,100.0312916,95.7614206,171.1599924,167.3093497,171.879722,174.3132944,arm_stretch_up
20,173.6349227,174.7604563,153.7497576,158.3019633,109.1283586,104.6087369,157.5122727,166.5930961,177.1284455,176.6260103,arm_stretch_up
21,177.4796439,175.5909742,174.1018766,179.1148828,91.78991061,95.41186915,176.5577847,174.0576295,179.0635996,179.367777,arm_stretch_up
22,175.0786633,171.9865234,144.7390191,156.8500293,95.71814174,95.74736462,166.7565094,173.2948719,176.4936383,174.2845449,arm_stretch_up
23,172.0295826,172.5620851,159.4546361,170.7947679,83.58709215,88.61611052,176.7140775,179.127952,175.3320446,178.0200787,arm_stretch_up
24,174.6845637,172.4292974,171.4087283,172.3004782,85.99170293,91.701658,179.5435295,178.0313381,178.2883503,179.4157638,arm_stretch_up
25,175.0358559,179.1384472,153.9706524,164.8854513,89.84965819,92.45387325,174.7583119,173.2611124,179.3683261,177.6571092,arm_stretch_up
26,175.1781361,177.7644467,148.1118159,157.1744109,96.58543025,92.57406393,169.9314445,170.9715549,178.0689626,179.3350885,arm_stretch_up
27,178.9295779,130.6633884,165.7556254,75.28285403,82.3504544,94.1230497,178.9449354,174.8957861,177.051635,173.7013604,arm_stretch_up
28,178.546719,178.419296,164.7416144,161.6855841,91.58450945,95.90059652,172.4557042,172.4904053,179.9090277,179.2311664,arm_stretch_up
29,179.8016351,178.5397538,154.8161604,154.3062446,94.46419815,93.20030856,169.1363726,173.2387615,178.8404325,177.1655756,arm_stretch_up
30,178.2309855,177.5257473,157.363314,170.6447683,99.29680834,96.73724124,168.9243037,167.0460864,175.4061488,178.9180029,arm_stretch_up
31,179.3986944,178.5348151,163.1183338,170.0067668,99.70039194,97.70933308,166.6161217,167.56826,178.5933953,176.2720769,arm_stretch_up
32,178.9945874,175.2028007,159.2814943,177.0881463,101.2076509,96.41250166,165.4944035,168.3285926,178.0502937,176.4664967,arm_stretch_up
33,172.8052746,164.8792559,178.0750095,174.432109,91.43209618,93.0127875,174.2561419,172.2423133,177.5628178,178.4193087,arm_stretch_up
34,175.4603925,174.3102358,144.284692,155.811629,90.36273345,86.37639578,176.2078061,178.9950285,179.326715,178.782976,arm_stretch_up
35,175.6964199,171.4102343,157.778016,173.4841252,87.29836572,95.84188963,175.5804511,171.7302761,176.5911368,177.0988655,arm_stretch_up
36,176.2359651,176.8612968,165.9311187,177.7164089,83.93263174,87.9749729,174.9203921,178.3862168,175.8914141,177.5489447,arm_stretch_up
37,172.0694957,179.2787138,153.2265067,151.2647187,91.46880071,85.95783982,176.0884282,179.8326111,180,173.894346,arm_stretch_up
38,179.5833726,178.7455484,163.7316166,159.4673003,91.06091169,85.57262765,176.4725319,177.0262689,178.8065106,179.5096597,arm_stretch_up
39,178.8647271,175.7877517,168.0354424,169.5485236,83.69574539,93.56081639,176.84286,174.7063944,178.3585672,178.4845921,arm_stretch_up
40,164.0150956,167.7093511,140.8293715,145.677713,84.55054705,90.38686895,177.4963399,175.6483028,174.4565593,177.3897614,arm_stretch_up
41,169.2257402,178.9693892,149.1754027,166.5939449,94.52310114,93.04024557,174.4599357,171.6708437,176.8048941,179.8771096,arm_stretch_up
42,178.1059188,174.3082974,164.8531855,179.7974733,86.42366563,91.265999,177.956625,178.2107664,172.9658889,179.8065496,arm_stretch_up
43,176.5326851,175.3131237,145.119657,145.0514141,88.55144991,91.24837872,177.7401219,175.5488797,175.2495842,177.3771225,arm_stretch_up
44,171.381438,172.8873856,164.7656687,177.8638213,89.52649194,91.96413989,177.8183586,173.8205251,178.7635924,179.345725,arm_stretch_up
45,179.8098823,179.0294109,157.0211097,160.7473108,86.79003616,91.61124786,174.3698672,179.2108827,177.2445449,179.8815797,arm_stretch_up
46,175.998199,172.8444929,159.3163129,170.5443012,94.85050079,95.83292907,170.9793786,170.6189413,179.5197063,179.6800001,arm_stretch_up
47,172.8161513,179.0464243,149.6265997,156.0879682,84.90947212,87.45769629,179.2331091,178.9796487,175.7831336,179.3973644,arm_stretch_up
48,179.3671704,175.6266271,166.4893911,167.0982294,92.99330084,90.12129171,172.6780474,177.2721864,178.2995632,173.3431696,arm_stretch_up
49,142.0064555,147.7243557,106.7734323,107.2479651,92.57335946,93.731397,171.8173661,171.6743497,177.436981,177.6830262,arm_stretch_up
50,175.328928,177.7134006,158.3449084,163.8710179,87.16254348,91.9264127,179.0581242,175.9247015,176.0272574,179.6424125,arm_stretch_up
51,176.9872125,168.7283476,173.1182764,173.806095,90,91.77146974,176.9872125,176.9648577,180,175.1344722,arm_stretch_up
